SMILES,description
[25Mg],"The molecule is the stable isotope of magnesium with relative atomic mass 24.985837, 10.0 atom percent natural abundance and nuclear spin 5/2."
CCCCCC(=O)N[C@@H](O)C(=O)[O-],The molecule is an N-acyl-(2S)-hydroxyglycinate resulting from the deprotonation of the carboxy group of N-hexanoyl-(2S)-hydroxyglycine. The major species at pH 7.3. It is a conjugate base of a N-hexanoyl-(2S)-hydroxyglycine.
C[C@@H]1CC[C@H]2C(C(=O)O)=C[C@@H]3[C@@H](O)C(C)(C)C[C@@]132,"The molecule is a tricyclic sesquiterpenoid that is pentalenene in which the 13-methyl group is oxidsed to the carboxylic acid and position 1 is substituted by a hydroxy group. It has a role as a metabolite. It is a sesquiterpenoid, a 5-hydroxy monocarboxylic acid and a carbotricyclic compound. It derives from a pentalenene. It is a conjugate acid of a pentalenate."
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])O[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)[C@H](O)CCCCCCCCCCCCCCCCC,"The molecule is a mannosylinositol phosphorylceramide(1-) having a hexacosanoyl group amide-linked to a C20 sphinganine base, with no hydroxylation at C-4 of the long-chain base or on the C26 very-long-chain fatty acid. It is a conjugate base of a Man-1-2-Ins-1-P-Cer(d20:0/26:0)."
O=P(O)(O)OC1[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)OP(=O)(O)O)C(O)[C@H](OP(=O)(O)OP(=O)(O)O)[C@H]1OP(=O)(O)O,"The molecule is a myo-inositol bis(diphosphate) trisphosphate having the three phospho groups located at positions 4, 5 and 6 and the two diphospho groups at positions 1 and 3. It derives from a myo-inositol."
CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,"The molecule is an organic thiophosphate, a sulfoxide and an organothiophosphate insecticide. It has a role as an EC 3.1.1.7 (acetylcholinesterase) inhibitor, an agrochemical, an avicide and a nematicide. It derives from a 4-(methylsulfinyl)phenol."
CNc1cc2c(cc1C)nc1c(=O)nc([O-])nc-1n2C[C@H](O)[C@H](O)[C@H](O)CO,"The molecule is an organic anion that is the conjugate base of 8-demethyl-8-(methylamino)riboflavin, obtained by removal of the imide proton at position 3. It is the major microspecies at pH 7.3 (according to Marvin v 6.2.0.). It is a conjugate base of an 8-demethyl-8-(methylamino)riboflavin."
[NH3+][C@@H](CS)C(=O)NCC(=O)[O-],"The molecule is the zwitterion of L-cysteinylglycine resulting from the transfer of a proton from the hydroxy group of glycine to the amino group of cysteine. Major microspecies at pH 7.3. It has a role as an Escherichia coli metabolite, a Saccharomyces cerevisiae metabolite and a human metabolite. It is a tautomer of a L-cysteinylglycine."
C[C@]1(CCO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)CC[C@H]2C(=CC[C@@H]3[C@]2(C)CCC[C@]3(C)C(=O)O)C1,"The molecule is a diterpene glycoside that is isopimar-7-en-19-oic acid attached to a alpha-D-mannopyranosyloxy residue at position 16. It has been isolated from the fungus, Xylaria species. It has a role as a fungal metabolite. It is a diterpenoid, a monosaccharide derivative, a monocarboxylic acid and a diterpene glycoside. It derives from an alpha-D-mannose. It derives from a hydride of an isopimarane."
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(C(=O)O)ccc1O,The molecule is a monohydroxybenzoic acid that is 4-hydroxybenzoic acid substituted at position 3 by a nonaprenyl group. It is a monohydroxybenzoic acid and an olefinic compound. It is a conjugate acid of a 4-hydroxy-3-all-trans-nonaprenylbenzoate.
Nc1cnn(C(=O)/C(O)=C/C=C/C(=O)O)c(=O)c1Cl,The molecule is an organochlorine compound and a pyridazinone. It derives from a muconic acid. It is a conjugate acid of a 5-amino-4-chloro-2-(2-oxidomuconoyl)pyridazin-3(2H)-one(2-).
CC(=O)N(O)CCCN,The molecule is a member of the class of acetohydroxamic acids that is trimethylenediamine bearing N-hydroxy and N-acetyl substituents. It has a role as a metabolite. It derives from a trimethylenediamine.
CC(C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H]1Cc2cc3ccc(=O)oc3cc2O1,"The molecule is a member of the class of psoralens that is (-)-marmesin in which the hydroxy hydrogen is replaced by a beta-D-glucosyl residue. It has a role as a plant metabolite, a P450 inhibitor and an antioxidant. It is a beta-D-glucoside, a member of psoralens and a monosaccharide derivative. It derives from a nodakenetin."
CCC(NC(=O)CCC([NH3+])C(=O)[O-])C(=O)[O-],"The molecule is a peptide anion that is the conjugate base of gamma-Glu-Abu, obtained by removal of protons from the two carboxy groups as well as protonation of the amino group; major species at pH 7.3. It is a conjugate base of a gamma-Glu-Abu."
[Sm+3],The molecule is a metal cation comprising samarium in the +3 oxidation state. It is a metal cation and a samarium molecular entity.
C[C@H](NC(=O)[C@H](C)NC(=O)CN)C(=O)O,"The molecule is a tripeptide composed of glycine, L-alanine and L-alanine residues joined in sequence by peptide linkages. It derives from a L-alanine and a glycine."
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCCCCC(=O)O,The molecule is an acyl-CoA resulting from the formal condensation of the thiol group of coenzyme A with the 1-carboxy group of 3-oxodecanedioic acid. It is a conjugate acid of a 3-oxodecanedioyl-CoA(5-).
O=C(O)CNC(=O)c1ccccc1,The molecule is an N-acylglycine in which the acyl group is specified as benzoyl. It has a role as a uremic toxin and a human blood serum metabolite. It is a conjugate acid of a N-benzoylglycinate.
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCOCC3)s2)o1,"The molecule is a secondary carboxamide resulting from the formal condensation of the carboxy group of tetrahydro-2H-pyran-4-carboxylic acid with the amino group of 5-{[(5-tert-butyl-1,3-oxazol-2-yl)methyl]sulfanyl}-1,3-thiazol-2-amine. It is a CDK18 kinase inhibitor. It has a role as an EC 2.7.11.22 (cyclin-dependent kinase) inhibitor. It is a member of 1,3-oxazoles, a member of 1,3-thiazoles, an organic sulfide, a secondary carboxamide and a member of oxanes."
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,"The molecule is a substituted aniline that is 3-aminophenol in which the hydrogens of the amino group are replaced by 4-methylphenyl and 4,5-dihydro-1H-imidazol-2-ylmethyl groups respectively. An alpha-adrenergic antagonist, it is used for the treatment of hypertension. It has a role as an alpha-adrenergic antagonist and a vasodilator agent. It is a member of imidazoles, a member of phenols, a tertiary amino compound and a substituted aniline."
COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,"The molecule is a secondary amino compound that is 3,4-dimethoxyphenylethylamine in which one of the hydrogens attached to the nitrogen has been replaced by a 4-cyano-4-(3,4-dimethoxyphenyl)-5-methylhexyl group. It is an aromatic ether, a nitrile, a polyether and a secondary amino compound."
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O.O,"The molecule is a hydrate obtained by combining oxyphenbutazone with one molar equivalent of water. Commonly used to treat pain, swelling and stiffness associated with arthritis and gout, it was withdrawn from the market 1984 following association with blood dyscrasis and Stevens-Johnson syndrome. It has a role as a non-steroidal anti-inflammatory drug, a non-narcotic analgesic, a gout suppressant, an antipyretic, an antimicrobial agent and an antineoplastic agent. It contains an oxyphenbutazone."
N[C@@H](CCP(=O)(O)O)C(=O)O,The molecule is a non-proteinogenc L-alpha-amino acid that is L-alpha-aminobutyric acid in which one of the hydrogens of the terminal methyl group has been replaced by a dihydroxy(oxido)-lambda(5)-phosphanyl group. It is a potent and selective agonist for the group III metabotropic glutamate receptors (mGluR4/6/7/8). It has a role as a metabotropic glutamate receptor agonist. It is a non-proteinogenic L-alpha-amino acid and a member of phosphonic acids.
CC(=O)N[C@H]1[C@@H](OC[C@H](N)C(=O)O)O[C@H](CO[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)[C@H](O)[C@@H]1O,The molecule is the L-alpha-amino acid that is N-acetyl-alpha-neuraminyl-(2->6)-N-acetyl-alpha-D-galactosamine linked via an alpha glycosidic bond to the O at position 3 of L-serine. It is a L-serine derivative and a non-proteinogenic L-alpha-amino acid.
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](OCc2ccc(F)cc2)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,"The molecule is a glycophytoceramide having a 4-O-(4-fluorobenzyl)-alpha-D-galactosyl residue at the O-1 position and a hexacosanoyl group attached to the nitrogen. One of a series of an extensive set of 4""-O-alkylated alpha-GalCer analogues evaluated (PMID:30556652) as invariant natural killer T-cell (iNKT) antigens. It derives from an alpha-D-galactose."
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OC1[C@H](O)[C@H](O)C(O)[C@H](O)[C@H]1O,"The molecule is a 1-octadecanoyl-2-acyl-sn-glycero-3-phospho-1D-myo-inositol in which the 2-acyl group is specified as (5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyl (arachidonoyl). It has a role as a mouse metabolite. It is a 1-octadecanoyl-2-acyl-sn-glycero-3-phospho-1D-myo-inositol and a phosphatidylinositol(18:0/20:4). It derives from an octadecanoic acid and an arachidonic acid. It is a conjugate acid of a 1-octadecanoyl-2-arachidonoyl-sn-glycero-3-phospho-D-myo-inositol(1-)."
CC1(C)CC[C@]2(C)CC[C@]3(C)C(=C[C@@H](O)[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,The molecule is the pentacyclic triterpenoid that is the 11alpha-hydroxy derivative of beta-amyrin. It is a pentacyclic triterpenoid and a secondary alcohol. It derives from a beta-amyrin.
Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@@H]3C[C@H]([NH+](C)C)[C@H](O)[C@H](C)O3)O2)c(=O)[nH]c1=O,"The molecule is a nucleotide-sugar oxoanion that is the conjugate base of dTDP-beta-L-rhodosamine, arising from deprotonation of the diphosphate group and protonation of the amino group; major species at pH 7.3. It is a conjugate base of a dTDP-beta-L-rhodosamine."
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,The molecule is a dihydroxy-5beta-cholanic acid that is (5beta)-cholan-24-oic acid substituted by beta-hydroxy groups at positions 3 and 7. It has a role as a human metabolite. It is a conjugate acid of an isoursodeoxycholate.
CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,"The molecule is an aromatic amide resulting from the formal condensation of the carboxy group of 1-methylcyclohexanecarboxylic acid with the amino group of 4-amino-2,3-dichlorophenol. It has a role as an EC 1.14.13.72 (methylsterol monooxygenase) inhibitor, a sterol biosynthesis inhibitor and an antifungal agrochemical. It is a monocarboxylic acid amide, a member of phenols, an aromatic amide, a dichlorobenzene and an anilide fungicide."
CCC(C)CCCCCCCCCCCCCCCCCCCCC(=O)O,"The molecule is a methyl-branched fatty acid that is tetracosanoic acid (lignoceric acid) substituted by a methyl group at position 22. It is a branched-chain saturated fatty acid, a methyl-branched fatty acid and a very long-chain fatty acid. It derives from a tetracosanoic acid."
O=C(O)C1CCCCN1,The molecule is a piperidinemonocarboxylic acid in which the carboxy group is located at position C-2. It is a conjugate acid of a pipecolate.
O.O.O.O.O=S(=O)([O-])[O-].[Be+2],"The molecule is a hydrate of beryllium sulfate containing beryllium (in +2 oxidation state), sulfate and water moieties in the ratio 1:1:4. It contains a beryllium sulfate."
Cc1nn(-c2cc(NS(C)(=O)=O)c(Cl)cc2Cl)c(=O)n1C(F)F,"The molecule is a member of the class of triazoles that is 5-oxo-1,2,4-triazole which is substituted at positions 1, 3, and 4 by 2,4-dichloro-5-[(methylsulfonyl)amino]phenyl, methyl, and difluoromethyl groups, respectively. A protoporphyrinogen oxidase inhibitor, it is used as a herbicide to control broad-leaved weeds in soya and tobacco crops. Not approved for use within the European Union. It has a role as an EC 1.3.3.4 (protoporphyrinogen oxidase) inhibitor, a herbicide and an agrochemical. It is a sulfonamide, a dichlorobenzene, an organofluorine compound and a member of triazoles."
Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1.[Na+].[Na+],The molecule is an organic sodium salt that is the disodium salt of CMP. It has a role as a human metabolite. It contains a cytidine 5'-monophosphate(2-).
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,"The molecule is an unsaturated fatty acyl-CoA that results from the formal condensation of the thiol group of coenzyme A with the carboxy group of (15Z,18Z,21Z,24Z,27Z)-triacontapentaenoic acid. It is an unsaturated fatty acyl-CoA and an ultra-long-chain fatty acyl-CoA. It is a conjugate acid of a (15Z,18Z,21Z,24Z,27Z)-triacontapentaenoyl-CoA(4-)."
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])[O-])OC(=O)CCCCCCCCCCCCCCC,"The molecule is a 1-acyl-2-hexadecanoyl-sn-glycero-3-phosphate(2-) in which the 1-acyl group is also hexadecanoyl; major species at pH 7.3. It is a conjugate base of a 1,2-dihexadecanoyl-sn-glycerol-3-phosphate."
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]3O)c2[nH]1,The molecule is trianion of xanthosine 5'-triphosphate arising from deprotonation of three of the four free triphosphate OH groups. It is a xanthosine 5'-phosphate and a ribonucleoside triphosphate oxoanion. It is a conjugate base of a XTP. It is a conjugate acid of a XTP(4-).
C=C1CCOC1=O,The molecule is a butan-4-olide having a methylene group at the 3-position. It has a role as a gastrointestinal drug and an anti-ulcer drug.
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(O[C@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC2O[C@](O)(CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)O[C@H]1C)CC(O)C2C(=O)O,The molecule is a polyene macrolide antibiotic; part of the nystatin complex produced by several Streptococcus species. It is a member of nystatins and a carboxylic acid.
COC(C)(C)C(O)/C=C/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)CC/C=C(\C)CCC=C(C)C,The molecule is a carotenoid ether that is spheroidene substituted at position 2 by a hydroxy group. It is a carotenoid ether and a carotenol. It derives from a spheroidene.
CC(C)CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],The molecule is an acyl-CoA(4-) arising from deprotonation of the phosphate and diphosphate functions of isopalmitoyl-CoA. Major species at pH 7.3. It is a saturated fatty acyl-CoA(4-) and a long-chain fatty acyl-CoA(4-). It is a conjugate base of an isopalmitoyl-CoA.
CCCCCCCCCCCCCC[C@@H](O)[C@H](O)[C@@H](N)CO,"The molecule is a sphingoid having the structure of phytosphingosine but with R-configuration at C-3. It is a sphingoid, a triol and an amino alcohol."
CC(=O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@H]1O,"The molecule is an amino trisaccharide consisting of N-acetyl-alpha-D-glucosamine, beta-D-galactose and N-acetyl-beta-D-glucosamine residues linked sequentially (1->6) and (1->4). It has a role as an epitope. It is an amino trisaccharide and a glucosamine oligosaccharide."
CN(C)c1ccc2[nH]c3c(C([NH3+])=O)cc(=O)c(=O)c=3oc2c1,"The molecule is an organic cation that is 3,4-dihydroxyphenoxazin-5-ium carrying additional carbamoyl and dimethylamino groups at positions 1 and 7 respectively. The chloride salt is the histological dye 'Gallamin blue'. It has a role as a fluorochrome and a histological dye."
COc1cc2oc(=O)cc(COC(=O)C=C(C)C)c2cc1OC,"The molecule is a member of the class of coumarins that consists of coumarin substituted by a senecioyloxymethyl group at position 4 and methoxy groups at positions 6 and 7. Isolated from Crinum latifolium, it exhibits anti-angiogenic activity. It has a role as a metabolite and an angiogenesis modulating agent. It is a member of coumarins, an enoate ester and an aromatic ether. It derives from a 3-methylbut-2-enoic acid."
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,"The molecule is a 1,1-bis(phosphonic acid) that is methanebis(phosphonic acid) in which the two methylene hydrogens are replaced by hydroxy and 3-aminopropyl groups. It has a role as an EC 2.5.1.1 (dimethylallyltranstransferase) inhibitor and a bone density conservation agent. It is a 1,1-bis(phosphonic acid) and a primary amino compound. It is a conjugate acid of an alendronate(1-)."
COC(=O)c1nc(C2CC2)nc(N)c1Cl,"The molecule is a pyrimidinecarboxylate ester that is the methyl ester of aminocyclopyrachlor. It has a role as a herbicide and a synthetic auxin. It is a pyrimidinecarboxylate ester, a primary amino compound, an organochlorine pesticide and a methyl ester. It derives from an aminocyclopyrachlor."
CN[C@@H](C)C(=O)O,The molecule is a methyl-L-alanine in which one of the the amino hydrogen of L-alanine is replaced by a methyl group. It is a tautomer of a N-methyl-L-alanine zwitterion.
COc1cc(/C=C/C(=O)OCCCCCCCCCCCCCCCC(=O)[O-])ccc1O,The molecule is a monocarboxylic acid anion that is the conjugate base of 16-feruloyloxypalmitic acid obtained by deprotonation of the carboxy group. It is a conjugate base of a 16-feruloyloxypalmitic acid.
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,The molecule is a glucotriose consisting of three beta-D-gluopyranose residues joined in sequence by (1->3) and (1->4) glycosidic bonds. It derives from a beta-cellobiose.
CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H]2O)[C@@H]1O,"The molecule is an organophosphate oxoanion obtained by deprotonation of both free diphosphate OH groups of alpha-D-mannosyl-(1->3)-alpha-D-mannosyl-(1->3)-alpha-D-mannosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-1-diphospho-ditrans,polycis-undecaprenol; major species at pH 7.3. It is a conjugate base of an alpha-D-mannosyl-(1->3)-alpha-D-mannosyl-(1->3)-alpha-D-mannosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-1-diphospho-ditrans,polycis-undecaprenol."
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCCCCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,"The molecule is a 3-hydroxy fatty acyl-CoA that results from the formal condensation of the thiol group of coenzyme A with the carboxy group of (3R,19Z,22Z,25Z,28Z)-3-hydroxytetratriacontatetraenoic acid. It is a (R)-3-hydroxyacyl-CoA, a 3-hydroxy fatty acyl-CoA, an unsaturated fatty acyl-CoA and an ultra-long-chain fatty acyl-CoA. It is a conjugate acid of a (3R,19Z,22Z,25Z,28Z)-3-hydroxytetratriacontatetraenoyl-CoA(4-)."
CC(C)c1cc(/C=C(\C#N)C(=O)NCCCc2ccccc2)cc(C(C)C)c1O,"The molecule is a monocarboxylic acid amide obtained by formal condensation of the carboxy group of (2E)-2-cyano-3-[4-hydroxy-3,5-di(propan-2-yl)phenyl]prop-2-enoic acid with the amino group of 3-phenylpropylamine. It has a role as a vascular endothelial growth factor receptor antagonist. It is an enamide, a member of phenols, a nitrile, a monocarboxylic acid amide and a secondary carboxamide."
CCCCCCCc1[nH]c2ccccc2c(=O)c1O,The molecule is a quinolone consisting of quinolin-4(1H)-one carrying a heptyl substituent at position 2 and a hydroxy group at position 3. It has a role as a signalling molecule.
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,The molecule is a pentacyclic triterpenoid that is olean-12-en-28-oic acid substituted by a beta-hydroxy group at position 3. It has a role as a plant metabolite. It is a pentacyclic triterpenoid and a hydroxy monocarboxylic acid. It is a conjugate acid of an oleanolate. It derives from a hydride of an oleanane.
C/C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,"The molecule is a pyrrolizidine alkaloid isolated from the plant species of the genus Senecio. It has a role as a plant metabolite. It is a lactone, a pyrrolizidine alkaloid and a tertiary alcohol. It derives from a senecionan. It is a conjugate base of a senecionine(1+)."
Nc1ccc2nc3ccc(N)cc3[n+](-c3ccccc3)c2c1.[Cl-],"The molecule is an organic chloride salt having 3,7-diamino-5-phenylphenazin-5-ium as the counterion. It is commonly used for staining Gram negative bacteria red in smears to contrast with the blue Gram positive organisms. It has a role as a fluorochrome, a histological dye and a photosensitizing agent. It contains a 3,7-diamino-5-phenylphenazin-5-ium."
C[C@H](O)/C=C\C/C=C\C[C@@H](O)/C=C/C=C\C/C=C\C/C=C\CCC(=O)[O-],"The molecule is a dihydroxydocosahexaenoate that is the conjugate base of (4Z,7Z,10Z,12E,14R,16Z,19Z,21S)-dihydroxydocosahexaenoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3. It is a conjugate base of a (4Z,7Z,10Z,12E,14R,16Z,19Z,21S)-dihydroxydocosahexaenoic acid. It is an enantiomer of a (4Z,7Z,10Z,12E,14S,16Z,19Z,21R)-dihydroxydocosahexaenoate."
