reactant,product
CC(C)(C)OC(=O)CC(=O)c1cccc(-n2cccn2)c1.CN(C)c1cc(NC(=O)OC(C)(C)C)c(N)cc1Cl,CN(C)c1cc(NC(=O)OC(C)(C)C)c(NC(=O)CC(=O)c2cccc(-n3cccn3)c2)cc1Cl
CCO.CCOC(=O)C(NC(C)=O)C(=O)OCC.O=[N+]([O-])c1ccc(-c2ccc(CCl)o2)cc1.[Na],CCOC(=O)C(Cc1ccc(-c2ccc([N+](=O)[O-])cc2)o1)(NC(C)=O)C(=O)OCC
CCCC[N+](CCCC)(CCCC)CCCC.ClCCl.O.O=S(=O)(Cl)c1ccccc1.O=S(=O)([O-])O.[Na+].[OH-].c1ccc(COc2ccc3[nH]ccc3c2)cc1,O=S(=O)(c1ccccc1)n1ccc2cc(OCc3ccccc3)ccc21
CC(C)NC(C)C.COC(=O)C(CO)NC(=O)OC(C)(C)C.CS(=O)(=O)Cl.ClCCl.Sc1ccccc1,COC(=O)C(CSc1ccccc1)NC(=O)OC(C)(C)C
CC(C)(C)[Si](C)(C)OC1CC(CC(=O)[O-])CC(OC2CCCCO2)C1.CO.O=C([O-])[O-].[K+].[K+],CC(C)(C)[Si](C)(C)OC1CC(O)CC(OC2CCCCO2)C1
C1COCCO1.CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3C)c3nc(C4(O)CN(C(=O)OC(C)(C)C)C4)n(C)c3n2)cc1.CO.Cl.ClCCl.O=C(O)C(F)(F)F,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3C)c3nc(C4(O)CNC4)n(C)c3n2)cc1
CCOC(C)=O.CNC(=O)c1cccc([N+](=O)[O-])c1Br.Cc1ccccc1.Nc1cncc(F)c1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd],CNC(=O)c1cccc([N+](=O)[O-])c1Nc1cncc(F)c1
C1CCOC1.C=CCCCC.N#N,CCCCC(C)C1CCCO1
CC(C)(C)n1nc(C=O)cc1-c1ccc(Cl)cc1.NCCN1CCN(c2ccccc2F)CC1,CC(C)(C)n1nc(CNCCN2CCN(c3ccccc3F)CC2)cc1-c1ccc(Cl)cc1
CC(=O)O.CCCCCCCNC(=O)N(C)c1cccc(-c2ccc(C=CC(=O)OC)cc2O)c1.CCOC(C)=O.CO,CCCCCCCNC(=O)N(C)c1cccc(-c2ccc(CCC(=O)OC)cc2O)c1
CC(C)=CCCC(C)=CCN(C(=O)c1ccccc1[N+](=O)[O-])c1ccc(N(C)C)cc1.CCO.Cl.[Fe],CC(C)=CCCC(C)=CCN(C(=O)c1ccccc1N)c1ccc(N(C)C)cc1
COc1cc(CBr)cc(OC)c1OC.Cc1ccccc1.c1ccc([PH+](c2ccccc2)c2ccccc2)cc1,COc1cc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc(OC)c1OC.[Br-]
BrCc1ccccc1.CN(C)C=O.COC(=O)c1ccc(O)cc1.O.O=C([O-])[O-].[K+].[K+],COC(=O)c1ccc(OCc2ccccc2)cc1
CC(=O)OC1CCC2(C)C(CCC3C2CC(=O)C2(C)C(C(C)CCC=O)CCC32)C1.CO.C[O-].Cl.[CH3].[Na+],CC(CCC=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(=O)C12C
Cc1coc2cc(O)ccc2c1=O.O.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F.c1ccncc1,Cc1coc2cc(OS(=O)(=O)C(F)(F)F)ccc2c1=O
C1COCCO1.CCCC(=O)Nc1nn(COCC[Si](C)(C)C)c2cc(B3OC(C)(C)C(C)(C)O3)ccc12.CCOC(C)=O.O.O=C([O-])[O-].O=[N+]([O-])c1ccc(Br)cc1.[Na+].[Na+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCCC(=O)Nc1nn(COCC[Si](C)(C)C)c2cc(-c3ccc([N+](=O)[O-])cc3)ccc12
O=S(=O)(Nc1cccc(-c2nc(C3CCOCC3)sc2-c2ccnc(Cl)n2)c1Cl)c1cc(F)ccc1F.[NH4+].[OH-],Nc1nccc(-c2sc(C3CCOCC3)nc2-c2cccc(NS(=O)(=O)c3cc(F)ccc3F)c2Cl)n1
Br.Br.CCC(=O)c1cnc(Cl)cc1C.O=C([O-])[O-].[Na+].[Na+],Cc1cc(Cl)ncc1C(=O)C(C)Br
Br.BrCc1ccccn1.COC(=O)c1ccc(O)cc1F,COC(=O)c1ccc(OCc2ccccn2)cc1F
CC(=O)[O-].CC(=O)[O-].CC1=CCC(C(C)C)CC1.FC(F)(F)c1ccccc1.O.O.O.O=C(C(F)(F)F)C(F)(F)F.O=C1c2ccccc2C(=O)N1O.OC(c1ccccc1)c1ccccc1.[Co+2],CC(C)C1CCC2(C)OC2C1
C1CCOC1.CC(C)(C)OC(=O)N1CCNCC1.CCN(CC)CC.CCOC(C)=O.O=S(=O)(Cl)C(F)(F)F,CC(C)(C)OC(=O)N1CCN(S(=O)(=O)C(F)(F)F)CC1
CC(=O)O.CC(C)(C)[N+](=O)[O-].CCO.O=Cc1cn[nH]c1.[Zn],CC(C)(C)[N+]([O-])=Cc1cn[nH]c1
C1CCOC1.CC(C)(C)[O-].CN(C)C=O.ClC(Cl)Cl.O=[N+]([O-])c1ccc(-c2ccc(Cl)cc2)cc1.[K+],O=[N+]([O-])c1ccc(-c2ccc(Cl)cc2)cc1C(Cl)Cl
CCOC(C)=O.COCCOC.Nc1ncc(F)cc1Br.O.O=C([O-])[O-].OB(O)c1ccc(OC2CCCCC2)nc1.[Na+].[Na+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Nc1ncc(F)cc1-c1ccc(OC2CCCCC2)nc1
CN(C)c1ccncc1.Cc1cc2cnn(CCO[Si](C)(C)C(C)(C)C)c2cc1N.Cl.O=C1CC(c2ccc(F)cc2)C(C(=O)O)=CN1.[Cl-].c1ccncc1,Cc1cc2cnn(CCO[Si](C)(C)C(C)(C)C)c2cc1NC(=O)C1=CNC(=O)CC1c1ccc(F)cc1
CC(C)=O.CI.OCc1cccc2[nH]c(-c3ccc(C(F)(F)F)cc3)nc12.[K+].[OH-],Cn1c(-c2ccc(C(F)(F)F)cc2)nc2c(CO)cccc21
CCN(C(C)C)C(C)C.CN(C)C=O.CNCC(O)c1ncccn1.Cc1c(CCl)sc2c(=O)c(C(=O)NCc3ccc(F)cc3)cn(C)c12.Cl.Cl.O,Cc1c(CN(C)CC(O)c2ncccn2)sc2c(=O)c(C(=O)NCc3ccc(F)cc3)cn(C)c12
CC(C)(C)c1ccccc1.CC(C)C(=O)Cl,CC(C)C(=O)c1ccc(C(C)(C)C)cc1
C1CCOC1.CC(C)(C)c1ccc(S(=O)(=O)Cl)cc1.CO.Cc1noc(N)c1Br.Cl.O.[H-].[Na+],Cc1noc(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1Br
CCN(CC)CC.Cl.Cl.ClCCl.Fc1ccc(SC2CCNCC2)cc1.O=C(Cl)c1ccc(Nc2ccnc3cc(C(F)(F)F)ccc23)cc1,O=C(c1ccc(Nc2ccnc3cc(C(F)(F)F)ccc23)cc1)N1CCC(Sc2ccc(F)cc2)CC1
CCN(CC)CC.CS(C)=O.ClCCl.O.O=C(Cl)C(=O)Cl.O=c1cc(Cl)c2ccc(C(F)(F)F)cc2n1CCO,O=CCn1c(=O)cc(Cl)c2ccc(C(F)(F)F)cc21
CC(=O)N(C)C.CC(C)(C)[O-].CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.Cc1cc(N)n(-c2ccccc2)n1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=S(=O)(Nc1nccs1)c1ccc(Br)cn1.[Na+].[Pd].[Pd],Cc1cc(Nc2ccc(S(=O)(=O)Nc3nccs3)nc2)n(-c2ccccc2)n1
C=CC(=O)OC.COC(=O)c1ccco1,COC(=O)C=Cc1ccc(C(=O)OC)o1
CC(=O)O.CC(=O)O[BH-](OC(C)=O)OC(C)=O.CCCCCCC=O.CN(C)c1ccc(N)cc1.ClCCl.O=C([O-])O.[Na+],CCCCCCCNc1ccc(N(C)C)cc1
CCCCn1c(=O)c2cc(C(=O)OCC)cn2c2cc(Cl)ccc21.CCO,CCCCn1c(=O)c2cc(C(=O)O)cn2c2cc(Cl)ccc21
COc1c(F)cc(-c2ccc(C(F)(F)F)cc2)cc1C=O.O.O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].c1cc[nH+]cc1.c1cc[nH+]cc1,COc1c(F)cc(-c2ccc(C(F)(F)F)cc2)cc1C(=O)O
COC(=O)C(Br)c1ccc(Sc2ccc(Cl)cc2)cc1.Oc1ccc(Cl)cc1,COC(=O)C(Oc1ccc(Cl)cc1)c1ccc(Sc2ccc(Cl)cc2)cc1
COC(=O)c1cc(=O)n(CC2OCCO2)c2cc(OC)ccc12.O=C(O)C(F)(F)F,COC(=O)c1cc(=O)n(CC=O)c2cc(OC)ccc12
C=C1CC(=O)O1.CCN(CC)CC.C[Si](C)(C)CCO,CC(=O)CC(=O)OCC[Si](C)(C)C
CCN(CC)CC.CN(Cc1ccccc1)C(=O)C(N)c1ccccc1.CS(=O)(=O)O.Cl.Cl.ClCCl.Cn1c(C(=O)O)cc2cc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)ccc21.O.On1nnc2ccccc21.[Na],CN(Cc1ccccc1)C(=O)C(NC(=O)c1cc2cc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)ccc2n1C)c1ccccc1
CC(=O)O.CC(=O)O[BH-](OC(C)=O)OC(C)=O.CC(C)S(=O)(=O)N1CCC(c2c[nH]c3c(C(N)=O)cc(-c4csc(C=O)c4)cc23)CC1.CS(C)=O.OCC1CCCN1.[Na+],CC(C)S(=O)(=O)N1CCC(c2c[nH]c3c(C(N)=O)cc(-c4csc(CN5CCCC5CO)c4)cc23)CC1
CC#N.O.O.O.O=C(C(F)(F)F)C(F)(F)F.c1cc(CNc2nccs2)ccn1.c1ccccc1,OC(c1cnc(NCc2ccncc2)s1)(C(F)(F)F)C(F)(F)F
BrCCCCCCOCc1ccccc1.COc1cc(N)c(Cl)cc1C(=O)NCC1CCNCC1.Cl.Cl,COc1cc(N)c(Cl)cc1C(=O)NCC1CCN(CCCCCCOCc2ccccc2)CC1
CCOC(=O)Cc1csc(N)n1.COc1cc(C)ccc1S(=O)(=O)Cl,CCOC(=O)Cc1csc(NS(=O)(=O)c2ccc(C)cc2OC)n1
C1CCOC1.CC(Br)(CC(Cl)(Cl)Cl)c1cc(Cl)nc(Cl)c1.CC1(C)CCCC(C)(C)N1.CCCCCC.[Li]CCCC,C=C(CC(Cl)(Cl)Cl)c1cc(Cl)nc(Cl)c1
CCC(N)C(=O)OCC(C)C.O=C(O)Cc1ccc(Cl)cc1Cl,CCC(NC(=O)Cc1ccc(Cl)cc1Cl)C(=O)OCC(C)C
C1CCOC1.CCN(CC)CC.CS(=O)(=O)Cl.NC1CCCc2ccc([N+](=O)[O-])cc21.O,CS(=O)(=O)NC1CCCc2ccc([N+](=O)[O-])cc21
CC(C)=O.CSCc1cn(C)c2ccccc2c1=O.ClCCl.O=C(OO)c1cccc(Cl)c1,Cn1cc(CS(C)=O)c(=O)c2ccccc21
CC(C)(C)[O-].CS(C)=O.O=C(CBr)C1CC1.O=C([O-])[O-].Oc1ccc(Br)cc1.[K+].[K+].[K+],O=C(COc1ccc(Br)cc1)C1CC1
C(=NC1CCCCC1)=NC1CCCCC1.CC(C)(C)OC(=O)N1CCC(C(=O)O)(c2ccccc2)CC1.CC(O)c1cc(Br)cc(C(F)(F)F)c1.CN(C)c1ccccn1.Cc1ccccc1.ClCCl,CC(OC(=O)C1(c2ccccc2)CCN(C(=O)OC(C)(C)C)CC1)c1cc(Br)cc(C(F)(F)F)c1
COc1cc2nccc(Oc3ccc4c(C(=O)O)cccc4c3)c2cc1OC.NCc1ccc(C(=O)Nc2ccccc2N)cc1,COc1cc2nccc(Oc3ccc4c(C(=O)NCc5ccc(C(=O)Nc6ccccc6N)cc5)cccc4c3)c2cc1OC
COc1ccc(C(O)CNCc2cccc(C)c2)cc1OC.O=C(O)C(F)(F)F.O=S(=O)(O)O,COc1ccc(C2CNCc3cc(C)ccc32)cc1OC
CC(C)(C)OC(=O)NC1(c2ccc(-c3c(-c4ccccc4)oc4ccc(F)cc4c3=O)cc2)CCC1.COc1cc2oc(-c3ccccc3)c(I)c(=O)c2cc1C,COc1cc2oc(-c3ccccc3)c(-c3ccc(C4(NC(=O)OC(C)(C)C)CCC4)cc3)c(=O)c2cc1C
BrCc1ccccc1.CCOC(=O)c1nc2ccccc2[nH]c1=O.CN(C)C=O.O.[H-].[Na+],CCOC(=O)c1nc2ccccc2n(Cc2ccccc2)c1=O
CC(=O)O.CCOC(=O)c1cc(O)cc(C(=O)OCC)c1.O,CCOC(=O)c1cc(C=O)cc(C(=O)OCC)c1
CC(=O)O.CC(=O)[O-].CC(=O)c1ccc(C)cc1.CCOC(=O)CC#N.CCOC(C)=O.[NH4+].c1ccccc1,CCOC(=O)C(C#N)=C(C)c1ccc(C)cc1
C1CCOC1.CCOC(C)=O.O=C1CCC(=O)N1Br.O=S(=O)(O)O.[Cl-].[NH4+].c1cnc2[nH]ccc2c1,Brc1c[nH]c2ncccc12
CC(C)NO.O=Cc1ccc2c(c1)OCCO2,CC(C)[N+]([O-])=Cc1ccc2c(c1)OCCO2
CO.Cc1ccc2nc(-c3ccc(C#N)cc3)cn2c1.O=S(=O)(O)O.c1ccccc1,Cc1ccc2nc(-c3ccc(C=O)cc3)cn2c1
CC(=O)c1cc(Oc2ccccc2)c(NS(C)(=O)=O)cc1OCc1ccccc1.CCOC(=O)OCC.O.[H-].[Na+],CCOC(=O)CC(=O)c1cc(Oc2ccccc2)c(NS(C)(=O)=O)cc1OCc1ccccc1
Cc1nn(-c2ccc(CCNC(=O)Oc3ccccc3)cc2)c(C)c1-c1cccc(C(N)=O)c1.NS(=O)(=O)c1ccc(F)cc1F,Cc1nn(-c2ccc(CCNC(=O)NS(=O)(=O)c3ccc(F)cc3F)cc2)c(C)c1-c1cccc(C(N)=O)c1
CCOC(=O)C1CCN(CC(C)Cc2ccc(C(C)(C)C)cc2)CC1.CCOCC.O,CC(Cc1ccc(C(C)(C)C)cc1)CN1CCC(CO)CC1
CC(=O)[O-].CO.Cl.NO.O=C1CCCCC1S(=O)(=O)N1CCN(c2ccc(F)cc2)CC1.[K+],O=S(=O)(C1CCCCC1=NO)N1CCN(c2ccc(F)cc2)CC1
CC(=O)Oc1cccc(C(=O)Cl)c1C.CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(N)CSc1ccccc1.CCOC(C)=O.O.O=C([O-])O.[Na+],CC(=O)Oc1cccc(C(=O)NC(CSc2ccccc2)C(O)CN2CC3CCCCC3CC2C(=O)NC(C)(C)C)c1C
CCN(C(C)C)C(C)C.CN(C)C=O.Cl.FC(F)(F)c1nnc2ccc(Cl)nn12.O.O=C1CCNCC1,O=C1CCN(c2ccc3nnc(C(F)(F)F)n3n2)CC1
CO.Cl.N#CCc1nc2cnc(Br)cc2n1-c1ccccc1.O=N[O-].[Na+],N#CC(=NO)c1nc2cnc(Br)cc2n1-c1ccccc1
CN(C(=O)OC(C)(C)C)c1cc(Cl)ccc1[N+](=O)[O-].CN(C)C=O.COc1ccc(O)cc1.[H-].[Na+],COc1ccc(Oc2ccc([N+](=O)[O-])c(N(C)C(=O)OC(C)(C)C)c2)cc1
CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2.CCCCCC.CCO.CCOCC.Cc1ccccc1.Nc1ccc(Oc2cc(NC(=O)N3CCC(CN4CCCC4)CC3)ncn2)c(F)c1.O=C(Cc1ccc(F)cc1)N=C=S,O=C(Cc1ccc(F)cc1)NC(=S)Nc1ccc(Oc2cc(NC(=O)N3CCC(CN4CCCC4)CC3)ncn2)c(F)c1
COC(=O)Cc1ccc(Cl)cc1.CS(C)=O.C[O-].Cl.O.[Na+],COC(=O)C(CO)c1ccc(Cl)cc1
CCOCC.COCCOCc1cc2cnc(Nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)cn3)nc2n(C2CCCC2)c1=O.Cl.ClCCl,COCCOCc1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O
CC(C)(C)OC(=O)Nc1ncc(C(NS(=O)C(C)(C)C)c2ccc(F)cc2Cl)s1.ClCCl.O=C(O)C(F)(F)F,CC(C)(C)S(=O)NC(c1cnc(N)s1)c1ccc(F)cc1Cl
CC(C)(C)c1ccc(S(N)(=O)=O)cc1.CCN(C(C)C)C(C)C.CS(C)=O.CSc1nc(Cl)c(-c2ccccc2)c(Cl)n1.O.[K],CSc1nc(Cl)c(-c2ccccc2)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)n1
